"episode","Group: Train_Rewards_simple_reference_if_load_pretrained:1 - _step","Group: Train_Rewards_simple_reference_if_load_pretrained:1 - _step__MIN","Group: Train_Rewards_simple_reference_if_load_pretrained:1 - _step__MAX","Group: Train_Rewards_simple_reference_if_load_pretrained:1 - train_rewards","Group: Train_Rewards_simple_reference_if_load_pretrained:1 - train_rewards__MIN","Group: Train_Rewards_simple_reference_if_load_pretrained:1 - train_rewards__MAX"
"301","601","601","601","-871.0337832456047","-1649.0168889200372","-199.09389082206638"
"302","603","603","603","-714.5628808024846","-1573.0170781987351","-148.2151257657244"
"303","605","605","605","-768.8928208515562","-2249.1652097701217","-125.26465073044045"
"304","607","607","607","-1168.3087394057143","-2412.889291644404","-199.9293501686999"
"305","609","609","609","-686.4127841889222","-1413.5150302214538","-156.8513189001253"
"306","611","611","611","-617.0931794067676","-1606.2906176955255","-211.55922339556875"
"307","613","613","613","-954.0547989002689","-2510.94952462038","-183.92644120396335"
"308","615","615","615","-1508.3209830011997","-3650.710618048367","-164.77007173754075"
"309","617","617","617","-1311.6860723039947","-3306.04333712764","-213.05406091679254"
"310","619","619","619","-1838.4549548127288","-3223.8374957091273","-590.4970540735759"
"311","621","621","621","-1776.9542827064186","-4851.627605201983","-175.53290118005287"
"312","623","623","623","-1479.6388287215636","-3397.082442186915","-163.98306500940964"
"313","625","625","625","-1460.804751455856","-3287.4052483731457","-164.5062883139122"
"314","627","627","627","-1610.6453920679173","-4248.502431012271","-118.49637943813566"
"315","629","629","629","-1754.5213541956116","-5161.489904653967","-341.5539890199927"
"316","631","631","631","-1602.8215013086924","-5320.800963632377","-281.3760837252773"
"317","633","633","633","-1865.48604228984","-5099.85831173164","-626.8096650866618"
"318","635","635","635","-2049.766711309903","-5895.577951300893","-614.80905915433"
"319","637","637","637","-1445.865201328766","-3722.9006632554597","-440.5113035149715"
"320","639","639","639","-879.4783727712278","-1524.2482742441941","-380.7743795944375"
"321","641","641","641","-1617.7560638948744","-4806.959910972295","-406.34116329264646"
"322","643","643","643","-1455.2120228317278","-4130.966501394184","-413.29381350407454"
"323","645","645","645","-1010.4417291643819","-3198.473360011232","-235.69317347649695"
"324","647","647","647","-1731.9619056002853","-6077.798602172054","-209.25097802039994"
"325","649","649","649","-1701.4190936985046","-5772.469569730131","-245.83739413876867"
"326","651","651","651","-1800.3008004493763","-3401.5607346623533","-151.63813875482137"
"327","653","653","653","-1628.8618481825986","-5655.571490490514","-325.98381443644337"
"328","655","655","655","-1706.38791835873","-4954.779717273134","-245.45750175918218"
"329","657","657","657","-1692.9781713615794","-3646.1932787247506","-299.75953723766537"
"330","659","659","659","-1438.7912639195729","-2686.3679584961824","-446.96275033399644"
"331","661","661","661","-1452.3939132287808","-2446.4426184689046","-503.46787297118857"
"332","663","663","663","-1554.9212056354354","-3283.1792685796086","-685.4979611315258"
"333","665","665","665","-1455.8389240532242","-2790.040283851564","-853.6650733732453"
"334","667","667","667","-1443.627788800131","-2894.065681004404","-773.6310454135208"
"335","669","669","669","-1041.343122393224","-1405.684468883267","-701.8552291883309"
"336","671","671","671","-781.6021170742107","-1062.486649142072","-575.5952938803016"
"337","673","673","673","-1029.8149363155928","-1716.91750197864","-411.80450162342663"
"338","675","675","675","-848.9575901433334","-1116.2513135865515","-604.417763234723"
"339","677","677","677","-774.501306761404","-1420.9943588600913","-359.2422652326159"
"340","679","679","679","-1106.479511880138","-2137.097305337205","-237.8318269072105"
"341","681","681","681","-872.4037114029392","-1843.3109294604976","-326.91608153339246"
"342","683","683","683","-714.7851003983834","-1214.417370737926","-259.0384192852698"
"343","685","685","685","-995.375576230476","-1423.875241243246","-351.04614334580793"
"344","687","687","687","-633.9591409767834","-1799.018957857927","-207.32411127028098"
"345","689","689","689","-1204.3680050528478","-2840.952817780555","-315.7179677289781"
"346","691","691","691","-969.811485412241","-2704.6595042146005","-165.4508325978791"
"347","693","693","693","-2238.0167322891093","-6379.086030024349","-204.08629936133457"
"348","695","695","695","-1222.293486463584","-2259.307798550481","-315.3940627874333"
"349","697","697","697","-1025.1713991007532","-2362.917682646909","-200.40663732363888"
"350","699","699","699","-1155.2865774674076","-2170.7338019267218","-357.1134571962315"
"351","701","701","701","-1549.4696176421955","-3778.4828205169356","-302.611039907143"
"352","703","703","703","-1557.6635486581577","-2388.5555887805813","-432.3420463472381"
"353","705","705","705","-1336.6947311731838","-2087.359557702444","-513.1695205534998"
"354","707","707","707","-1109.0363885406332","-3253.647135779949","-238.94117844191203"
"355","709","709","709","-970.8281564024568","-1651.4674525005182","-265.00908830733636"
"356","711","711","711","-1133.870830597766","-2112.7224591007343","-621.8582765605111"
"357","713","713","713","-1445.4969389329283","-3313.215646869082","-278.82881565459854"
"358","715","715","715","-1389.7492125659314","-2874.1296094578693","-591.8947881943066"
"359","717","717","717","-1448.823646986553","-3015.118606011156","-199.19915610659413"
"360","719","719","719","-1342.315509628241","-2513.8011921452553","-226.01901368522468"
"361","721","721","721","-1587.2176034411946","-2384.738004714239","-484.2003609871369"
"362","723","723","723","-1370.9563697009921","-2570.8975203736386","-522.1585783193343"
"363","725","725","725","-1205.949740174353","-2168.738697544867","-510.65707633758814"
"364","727","727","727","-1274.4378254676942","-2336.909473860164","-355.5273071536051"
"365","729","729","729","-1208.5535885864742","-1765.7204506137737","-413.7620518440902"
"366","731","731","731","-1121.3052582567511","-1512.0514940385942","-625.7846259515516"
"367","733","733","733","-1064.12482212454","-1867.279549181593","-456.31759317972967"
"368","735","735","735","-1043.511594340952","-1289.2940340627342","-351.3829333320639"
"369","737","737","737","-808.9744863155788","-1659.168242117571","-418.87754684000015"
"370","739","739","739","-968.3831905358873","-1313.2812585902477","-431.3956767988388"
"371","741","741","741","-1184.348083437881","-1536.7362357149698","-804.2630680768299"
"372","743","743","743","-1212.6113543906522","-1752.2084852420232","-323.4385813517335"
"373","745","745","745","-1853.1315263734864","-3203.5309109101895","-299.0855238543134"
"374","747","747","747","-1324.3294520594304","-2485.635038429887","-196.32023530880645"
"375","749","749","749","-2161.7585524227093","-6418.156703001178","-696.9277149302145"
"376","751","751","751","-3553.1401780563147","-8849.198017658979","-751.2421913968113"
"377","753","753","753","-1136.4088579192799","-2117.7157733229246","-456.96890946327574"
"378","755","755","755","-1769.391303966428","-4813.0600531171885","-570.5518014713513"
"379","757","757","757","-1391.8296871404573","-4028.224632941449","-165.5702332302913"
"380","759","759","759","-1132.2841099273028","-2567.674765060375","-116.49734569985367"
"381","761","761","761","-1736.3564478453725","-3663.519009389551","-71.15551760948246"
"382","763","763","763","-1374.5434041662065","-3148.688674387691","-211.68582407172295"
"383","765","765","765","-931.9711499442956","-1802.8832179298956","-150.49958333876688"
"384","767","767","767","-972.9143086055353","-2050.0300666376243","-352.0068427452454"
"385","769","769","769","-1094.8022624016749","-2201.639366636502","-469.1137494850671"
"386","771","771","771","-703.8559578337836","-1022.3696797506107","-386.933033208608"
"387","773","773","773","-704.1511301608125","-1103.1896360377618","-322.9807892159565"
"388","775","775","775","-507.24579082377124","-856.1401421600362","-210.06155318481615"
"389","777","777","777","-745.8146849263587","-1379.1364807897594","-134.98030580797771"
"390","779","779","779","-840.0168361477896","-1310.3432676522484","-514.4190388264813"
"391","781","781","781","-519.2678418211624","-1119.0501398971944","-161.34687857046333"
"392","783","783","783","-787.8630099393629","-1013.9121736925773","-349.1937456084062"
"393","785","785","785","-745.4031550765206","-1090.3760373311834","-275.30878030516624"
"394","787","787","787","-716.8562677054333","-1422.5118094328052","-202.19974214019095"
"395","789","789","789","-928.9315387283708","-1104.1449138419084","-837.2484995680119"
"396","791","791","791","-1100.0824808282084","-1841.2108078637","-419.7301727312938"
"397","793","793","793","-737.6251679617745","-965.8291438398759","-419.40054615352614"
"398","795","795","795","-682.1735121559485","-829.3362237133684","-419.2838188045178"
"399","797","797","797","-937.6833796723282","-1358.4881384810067","-253.31291851392822"
"400","799","799","799","-780.3059530997954","-1098.5980921710461","-329.8469054723622"
"401","801","801","801","-788.3411871121183","-1192.5218000340356","-312.66248470416804"
"402","803","803","803","-744.1775124180629","-1384.212852248388","-381.4659198721471"
"403","805","805","805","-915.651779305908","-1315.6921961579594","-518.8549742943105"
"404","807","807","807","-894.7815819256712","-2107.1793153986227","-269.79256635808355"
"405","809","809","809","-1075.3055315824572","-2280.2605621211374","-589.5746343202859"
"406","811","811","811","-1342.887986017343","-2286.596743769379","-427.9017501440755"
"407","813","813","813","-1268.3599270296263","-3316.6891754639473","-455.7049949332438"
"408","815","815","815","-1063.6876396115194","-2029.217331728906","-363.5577289678094"
"409","817","817","817","-1342.447225351919","-3327.2478968084797","-592.6992354414675"
"410","819","819","819","-1376.7223097199053","-1768.7460119606462","-940.271580963581"
"411","821","821","821","-1130.7039260001752","-1785.5935893962373","-210.1199536829026"
"412","823","823","823","-1407.521721624551","-3275.985758865416","-349.7242247758157"
"413","825","825","825","-1228.1959491949615","-2558.1160840293887","-593.8465538763246"
"414","827","827","827","-1094.0076373628042","-1509.9021928586565","-614.1993521019374"
"415","829","829","829","-1219.8044994030306","-2046.0828465383413","-454.4034073592236"
"416","831","831","831","-1166.6067174990742","-1789.6780189090882","-726.0157904842439"
"417","833","833","833","-1026.1574170102817","-1366.2994611870881","-844.4945602247025"
"418","835","835","835","-1040.3345491734083","-2004.8151951585573","-485.1976690305187"
"419","837","837","837","-827.1858832550488","-1441.1549664759916","-282.38908575386654"
"420","839","839","839","-851.7696204379912","-1361.9089741300788","-305.8433479095318"
"421","841","841","841","-1036.0399164062196","-1930.3210185068294","-298.297905526227"
"422","843","843","843","-3086.3709841467","-6316.657732953909","-607.6049791405869"
"423","845","845","845","-3434.617971005554","-12048.38947314195","-661.6042887858137"
"424","847","847","847","-1477.701619472091","-3164.886964779337","-783.5870727170383"
"425","849","849","849","-837.1138873656464","-1383.6735274918706","-194.1782133630313"
"426","851","851","851","-1045.8796586788835","-2479.7598679538632","-296.19063123446296"
"427","853","853","853","-1191.5537323484396","-3194.4504403834103","-124.73952509854388"
"428","855","855","855","-1433.5482597527532","-2407.410993936678","-913.0036094556101"
"429","857","857","857","-1458.2120221709108","-2313.870811885057","-713.6827711357896"
"430","859","859","859","-713.0210514244379","-899.6028622272605","-390.02973533755335"
"431","861","861","861","-720.2643903745608","-1052.5726914286247","-505.6887510172004"
"432","863","863","863","-652.3259227614152","-1193.6563733755493","-322.6071303892028"
"433","865","865","865","-699.1611006664891","-1677.3143022324184","-69.59448013964831"
"434","867","867","867","-779.9666261709892","-1687.9717943518892","-262.03814944627766"
"435","869","869","869","-966.0997875504712","-2260.6306923411717","-391.2262910374348"
"436","871","871","871","-850.5027401697629","-1697.376388935174","-126.14729663580482"
"437","873","873","873","-758.8656630171602","-1542.9745501467125","-74.68823171394175"
"438","875","875","875","-813.1738074107249","-1160.2879746887206","-515.2268214144935"
"439","877","877","877","-683.4148616056606","-1682.0250968324908","-255.04768965896452"
"440","879","879","879","-610.3456544418508","-1094.7058088164085","-333.71596279432435"
"441","881","881","881","-586.7980417472958","-1131.4106603703317","-106.7733202639199"
"442","883","883","883","-694.9816203207154","-968.2353263848911","-401.69902327236787"
"443","885","885","885","-732.9795750818861","-1229.91397146201","-336.4634269950837"
"444","887","887","887","-700.6340881609804","-1236.235725023514","-139.79497519315728"
"445","889","889","889","-857.8502618713703","-1534.8079082184572","-176.5407421389983"
"446","891","891","891","-899.6173196598345","-1596.1732898070557","-356.6856179416053"
"447","893","893","893","-818.5285800389092","-1219.4514626163489","-564.7380414047346"
"448","895","895","895","-755.9934886255684","-1363.0720713860137","-437.24387267000986"
"449","897","897","897","-652.7854309612462","-908.3495721908404","-277.4367302711628"
"450","899","899","899","-1338.9087148992592","-3938.3010868756674","-116.26671364195958"
"451","901","901","901","-1098.2169651788358","-2010.9477614287484","-444.1640669336119"
"452","903","903","903","-1225.9468877992963","-2194.489282204935","-524.8994899928001"
"453","905","905","905","-658.3496191159749","-1135.4714347182146","-375.4307441910145"
"454","907","907","907","-1105.6382849871875","-2211.4578517453224","-428.4715968922668"
"455","909","909","909","-694.8682339597665","-935.7867216143203","-446.3897337790515"
"456","911","911","911","-835.5599380329626","-1539.4583831423488","-146.19745558725432"
"457","913","913","913","-739.6119403794459","-1114.9169940563258","-218.49565040091588"
"458","915","915","915","-885.5908987194996","-1469.056262497629","-503.9378935867631"
"459","917","917","917","-805.3029047108877","-1557.5997833469157","-139.28530294956641"
"460","919","919","919","-1332.6041858647648","-2099.811610577333","-717.524324875493"
"461","921","921","921","-937.8170269777298","-1925.5458362789304","-136.95001453628205"
"462","923","923","923","-780.5672810832436","-2243.3671383053397","-142.19389375722238"
"463","925","925","925","-1198.3965132944572","-3545.8453179824987","-380.80385321146963"
"464","927","927","927","-1167.5747858429254","-2915.886287588655","-511.4102567446093"
"465","929","929","929","-1426.6736011381206","-3238.417017915866","-48.32858692407799"
"466","931","931","931","-914.348546398355","-2339.773568798332","-227.0295234833901"
"467","933","933","933","-1978.884312362817","-6030.416948788698","-284.45578116105264"
"468","935","935","935","-2642.464992015605","-8561.412977514017","-319.93425164760515"
"469","937","937","937","-2413.016375131082","-8496.902324851431","-545.4909367649957"
"470","939","939","939","-1785.3754557970635","-6462.398549805981","-415.0329543179795"
"471","941","941","941","-1521.4785834792706","-5265.307986642466","-159.95747509264837"
"472","943","943","943","-1622.4736821388542","-4940.127538161855","-497.6648725647656"
"473","945","945","945","-1604.976200732097","-3964.8521910515424","-307.0511212347582"
"474","947","947","947","-1333.297654050893","-3873.0954184953566","-285.2257564862163"
"475","949","949","949","-1500.8192313126583","-5144.3129966522665","-326.96362915287125"
"476","951","951","951","-1238.1863095950644","-4104.755908884181","-221.19715685675848"
"477","953","953","953","-1021.5594254590469","-2553.7842652861395","-274.26631637605914"
"478","955","955","955","-1116.0978762163295","-2911.107747684486","-406.9656806710762"
"479","957","957","957","-916.7007179521122","-1530.5475714158013","-324.4098957671786"
"480","959","959","959","-866.82815495316","-1427.847744962275","-380.6881160977122"
"481","961","961","961","-460.23420529003505","-773.1242712141977","-181.99209959961684"
"482","963","963","963","-675.9909404769838","-1202.3729835640277","-185.44622680728415"
"483","965","965","965","-989.1866988329624","-1552.6949651479597","-152.81126767638776"
"484","967","967","967","-759.9994451350505","-1264.772314510172","-102.6402869663061"
"485","969","969","969","-772.5097545323755","-1468.9800349642126","-108.67014586547911"
"486","971","971","971","-847.7495277462731","-1138.5121398411513","-145.33361658716063"
"487","973","973","973","-1021.5659813590339","-2063.980163013324","-323.7158997666458"
"488","975","975","975","-1356.2367138397726","-3062.1420887370614","-295.20078322392"
"489","977","977","977","-1338.1393504520659","-2071.1733151033204","-251.40501145228342"
"490","979","979","979","-1238.8630608819053","-2019.123124919414","-194.7651091447417"
"491","981","981","981","-1200.6010013181258","-2578.9242639284475","-155.74520494534707"
"492","983","983","983","-1099.0240949977992","-2443.260499187392","-501.2406627740316"
"493","985","985","985","-864.3798085877057","-1870.6143071726965","-84.33668787981696"
"494","987","987","987","-1092.719712951569","-1783.559375444106","-378.6194655827012"
"495","989","989","989","-1323.2760576872429","-3608.156839202365","-301.2145858441983"
"496","991","991","991","-955.7834450107109","-1610.816387818755","-135.66900460126638"
"497","993","993","993","-1224.7506940193489","-1807.4270065777957","-819.7580144709149"
"498","995","995","995","-588.0079704782903","-1232.590495326328","-300.7054224162322"
"499","997","997","997","-1020.9415086165433","-1590.8855966699211","-272.33912934913246"
"500","999","999","999","-812.3267162793205","-1179.1204726039862","-342.3049401006966"
"501","1001","1001","1001","-771.5689640445486","-1141.231162029155","-340.39240325927494"
"502","1003","1003","1003","-758.0124073018945","-1041.8532242026888","-383.4122497775417"
"503","1005","1005","1005","-869.9560381651663","-1173.193222904446","-398.2777831016078"
"504","1007","1007","1007","-1354.404252372807","-2874.2064649487793","-481.8675131972822"
"505","1009","1009","1009","-1152.0187355774146","-2036.67381850106","-375.65610447134605"
"506","1011","1011","1011","-926.7524529222995","-1238.606307299057","-650.6679013486043"
"507","1013","1013","1013","-1049.4230346013665","-2992.6274388905836","-300.51681862073843"
"508","1015","1015","1015","-704.975036796279","-1794.9140198707005","-195.58155145035485"
"509","1017","1017","1017","-1501.3226246323761","-3943.8490431604937","-434.2515070658496"
"510","1019","1019","1019","-1194.839533799181","-2194.6167900366454","-460.9657369224944"
"511","1021","1021","1021","-1054.3973346350772","-2240.0426741743936","-282.4162233321098"
"512","1023","1023","1023","-1380.534081782968","-2058.2299149419923","-720.5113382728434"
"513","1025","1025","1025","-1147.8775777629173","-1929.0311240381618","-317.2259566491119"
"514","1027","1027","1027","-1276.7877346686093","-2521.2994895013576","-264.86746891696293"
"515","1029","1029","1029","-2023.2093744034566","-4053.324945575871","-861.6684120628053"
"516","1031","1031","1031","-1613.1405019300234","-3093.8983699583537","-131.2601155357978"
"517","1033","1033","1033","-1302.8281967003127","-3023.1406822111403","-166.82835283732572"
"518","1035","1035","1035","-1184.7286196254286","-2990.368699044159","-240.78099667204305"
"519","1037","1037","1037","-1015.6829036391166","-2333.6906922214257","-392.7899299193896"
"520","1039","1039","1039","-1491.5931296777328","-4480.392882465049","-252.785820772216"
"521","1041","1041","1041","-1372.634994367714","-2874.999880839664","-538.6880421735347"
"522","1043","1043","1043","-1255.1457287415546","-2457.119021195933","-457.31518989932727"
"523","1045","1045","1045","-2347.7164598118097","-4409.500570376679","-1019.8085021111544"
"524","1047","1047","1047","-1170.7309585480957","-3632.062777803747","-276.44658328817815"
"525","1049","1049","1049","-579.8834784909737","-1639.1594988956044","-139.44034763250414"
"526","1051","1051","1051","-1119.5995350210633","-2673.690410200545","-120.12527777230693"
"527","1053","1053","1053","-1185.6778710996814","-2070.6598329049452","-127.94701244699272"
"528","1055","1055","1055","-998.3499056203916","-3185.4960015499423","-143.82474861310922"
"529","1057","1057","1057","-1029.012498584331","-2108.2801265057806","-181.7700479505491"
"530","1059","1059","1059","-1791.0047829633975","-3047.078243729368","-86.16919724919175"
"531","1061","1061","1061","-1371.3966658566153","-3985.5079806080466","-359.18421369054045"
"532","1063","1063","1063","-727.2522183318135","-1475.0578145454288","-133.92674746260406"
"533","1065","1065","1065","-555.6714617702621","-962.3626135052097","-290.90184477077565"
"534","1067","1067","1067","-1044.8043315792236","-1687.6394807701138","-119.23655846897782"
"535","1069","1069","1069","-1058.7547716884744","-2357.571441763011","-416.19182662212876"
"536","1071","1071","1071","-654.8043629142737","-1118.6212291872237","-165.99444654727418"
"537","1073","1073","1073","-746.0484981531175","-1869.8527134586468","-203.22829534226383"
"538","1075","1075","1075","-1009.1264741406148","-2515.296435343552","-143.10151558773998"
"539","1077","1077","1077","-523.7491972021693","-1694.686531440793","-102.81797386715489"
"540","1079","1079","1079","-736.6851038160626","-1656.7172254907737","-199.48335790866096"
"541","1081","1081","1081","-977.1150028432724","-1797.8650058905569","-300.94245003052765"
"542","1083","1083","1083","-614.067787319374","-1498.849602991754","-236.1912815621293"
"543","1085","1085","1085","-996.4205777833034","-2533.4810519050807","-323.0205286045407"
"544","1087","1087","1087","-619.5761379010565","-1077.6373161583977","-410.7929653966034"
"545","1089","1089","1089","-476.8842645501318","-832.7660191685425","-278.3755149412881"
"546","1091","1091","1091","-796.2657625219299","-1499.904035839699","-219.64035072866503"
"547","1093","1093","1093","-462.78970076254365","-827.4795351666368","-276.0178257629572"
"548","1095","1095","1095","-506.6089336987485","-561.5852492742137","-430.2375978457068"
"549","1097","1097","1097","-743.6235307852894","-1254.8388747681638","-342.1249416614193"
"550","1099","1099","1099","-597.1564063278496","-1281.769819271225","-197.19016341120073"
"551","1101","1101","1101","-551.889185163229","-1270.6111412822966","-129.63457636674732"
"552","1103","1103","1103","-791.5739053360849","-1102.7671118936787","-603.0643637904105"
"553","1105","1105","1105","-968.6779372697371","-1810.9686799916576","-608.1885350553077"
"554","1107","1107","1107","-854.8173648002461","-2569.25774861182","-168.71421194239176"
"555","1109","1109","1109","-687.7026523109641","-1183.9739700553846","-369.0933528027452"
"556","1111","1111","1111","-859.6885578689541","-2578.8792040984304","-139.22998425286158"
"557","1113","1113","1113","-624.0364002211129","-967.6363429040755","-219.4447489907904"
"558","1115","1115","1115","-670.9221402360006","-1271.9416503218686","-60.25286897114986"
"559","1117","1117","1117","-1074.2272148862644","-1780.920936020941","-686.3135944416512"
"560","1119","1119","1119","-609.988517936364","-985.7199390999461","-285.7778049988642"
"561","1121","1121","1121","-666.1898047101156","-869.1975904835427","-319.0700745593305"
"562","1123","1123","1123","-634.6204192227376","-1293.7092504651946","-292.7024589591941"
"563","1125","1125","1125","-984.4853791686062","-1651.2669258499748","-416.17286408300606"
"564","1127","1127","1127","-1074.2885269253918","-2190.7627343535355","-355.4023427427517"
"565","1129","1129","1129","-641.2526982651925","-1297.059080301492","-335.79652724950785"
"566","1131","1131","1131","-732.1016261708943","-1332.8430215407172","-280.09165680026774"
"567","1133","1133","1133","-778.5757859755134","-942.0687528190805","-497.9384708162049"
"568","1135","1135","1135","-885.8511157889227","-1220.3524917403354","-422.2067880732118"
"569","1137","1137","1137","-832.4468692780349","-1411.8499089337329","-467.69758551733827"
"570","1139","1139","1139","-1222.5292402712262","-2254.1221968039636","-642.7019016696095"
"571","1141","1141","1141","-1270.2917866163455","-3064.9235820857166","-372.74516070398715"
"572","1143","1143","1143","-1316.2586766608777","-2352.85269913746","-628.2444410401553"
"573","1145","1145","1145","-1078.2747602632476","-1459.1581371897744","-361.27524034655744"
"574","1147","1147","1147","-907.9806187352235","-1099.9889820895912","-602.2198006217941"
"575","1149","1149","1149","-1271.4795272202753","-2150.8429400490113","-853.5161129748036"
"576","1151","1151","1151","-1367.690141909329","-1813.5142420840089","-727.6099059997161"
"577","1153","1153","1153","-1255.5927799558397","-2486.593852483642","-587.0655944311195"
"578","1155","1155","1155","-1453.8893152790556","-2468.5315331108236","-680.8672298543618"
"579","1157","1157","1157","-1206.9970987340907","-2842.496743373904","-450.81758771598953"
"580","1159","1159","1159","-1369.3487214042648","-2004.8568583453223","-517.8441025648945"
"581","1161","1161","1161","-1107.2608374175475","-2128.961091821487","-337.688146373013"
"582","1163","1163","1163","-749.5918408144778","-1453.01928612153","-184.18552980477895"
"583","1165","1165","1165","-970.9816603086341","-2069.121640224083","-234.8704836202934"
"584","1167","1167","1167","-888.8375985286117","-1413.801250427045","-98.02092113636377"
"585","1169","1169","1169","-1208.1682712199201","-1933.0476923817926","-740.4375308547599"
"586","1171","1171","1171","-674.4577654848573","-1516.6647506042875","-145.17110787621496"
"587","1173","1173","1173","-657.6613328271663","-1325.0114867376087","-211.4205811468302"
"588","1175","1175","1175","-965.8699784619739","-1660.5045656306565","-194.7124909280464"
"589","1177","1177","1177","-714.7604467912827","-1164.4895456951488","-153.26512201025884"
"590","1179","1179","1179","-983.5499898315986","-1586.6221740480444","-640.5820975084051"
"591","1181","1181","1181","-975.2342169497422","-2367.2650027977943","-197.33089486510602"
"592","1183","1183","1183","-1027.1240011118184","-2152.8313282628214","-89.69783266050227"
"593","1185","1185","1185","-1102.0709670590927","-1501.6789425673012","-694.4672302286505"
"594","1187","1187","1187","-1098.704806018228","-2305.498393825662","-147.94806872819828"
"595","1189","1189","1189","-1203.9641663370069","-2510.895003613871","-318.9205295769016"
"596","1191","1191","1191","-1674.768676412823","-3396.962809035466","-385.77272358415166"
"597","1193","1193","1193","-1846.9978282834513","-3746.8408755761825","-826.6215081542529"
"598","1195","1195","1195","-1415.7858397328457","-4221.775582540073","-213.17668562920196"
"599","1197","1197","1197","-2586.613530547681","-5031.114610267364","-716.6990771969658"